name,total,Year,Month
Prospect Park West,38229,2016,11
Prospect Park West,35931,2016,12
Prospect Park West,32096,2017,01
Prospect Park West,36405,2017,02
Prospect Park West,35284,2017,03
Prospect Park West,63342,2017,04
Prospect Park West,68610,2017,05
Prospect Park West,83481,2017,06
Prospect Park West,85597,2017,07
Prospect Park West,81212,2017,08
Prospect Park West,82358,2017,09
Prospect Park West,77106,2017,10
Prospect Park West,55559,2017,11
Prospect Park West,39132,2017,12
Prospect Park West,32869,2018,01
Prospect Park West,36554,2018,02
Prospect Park West,42961,2018,03
Prospect Park West,58528,2018,04
Prospect Park West,74634,2018,05
Prospect Park West,83906,2018,06
Prospect Park West,84156,2018,07
Prospect Park West,77443,2018,08
Prospect Park West,75382,2018,09
Prospect Park West,71327,2018,10
Prospect Park West,51454,2018,11
Prospect Park West,43162,2018,12
Prospect Park West,41946,2019,01
Prospect Park West,38668,2019,02
Prospect Park West,50685,2019,03
Prospect Park West,67104,2019,04
Prospect Park West,77564,2019,05
Prospect Park West,91119,2019,06
Prospect Park West,83507,2019,07
Prospect Park West,84868,2019,08
Prospect Park West,88982,2019,09
Prospect Park West,72358,2019,10
Prospect Park West,58127,2019,11
Prospect Park West,41080,2019,12
Prospect Park West,51138,2020,01
Prospect Park West,46079,2020,02
Prospect Park West,56389,2020,03
Prospect Park West,48059,2020,04
Prospect Park West,93761,2020,05
Prospect Park West,111312,2020,06
Prospect Park West,104477,2020,07
Prospect Park West,114310,2020,08
Prospect Park West,121093,2020,09
Prospect Park West,110444,2020,10
Prospect Park West,88695,2020,11
Prospect Park West,56837,2020,12
Prospect Park West,61088,2021,01
Prospect Park West,37847,2021,02
Prospect Park West,75694,2021,03
Prospect Park West,90244,2021,04
Prospect Park West,108263,2021,05
Prospect Park West,112192,2021,06
Prospect Park West,104415,2021,07
Prospect Park West,103440,2021,08
Prospect Park West,111450,2021,09
Prospect Park West,110239,2021,10
Prospect Park West,85041,2021,11
Prospect Park West,73916,2021,12
Prospect Park West,52581,2022,01
Prospect Park West,56286,2022,02
Prospect Park West,79749,2022,03
Prospect Park West,89828,2022,04
Prospect Park West,88466,2022,05
Prospect Park West,101058,2022,06
Prospect Park West,95983,2022,07
Prospect Park West,94452,2022,08
Prospect Park West,91282,2022,09
Prospect Park West,81115,2022,10
Prospect Park West,68581,2022,11
Prospect Park West,48843,2022,12
Prospect Park West,56138,2023,01
Prospect Park West,49918,2023,02
Prospect Park West,62309,2023,03
Prospect Park West,73467,2023,04
Prospect Park West,90615,2023,05
Prospect Park West,85981,2023,06
Prospect Park West,78906,2023,07
Prospect Park West,87551,2023,08
Prospect Park West,76162,2023,09
Prospect Park West,12420,2023,10
Prospect Park West,0,2023,11
Prospect Park West,0,2023,12
Prospect Park West,0,2024,01
Prospect Park West,0,2024,02
Prospect Park West,0,2024,03
Prospect Park West,0,2024,04
Prospect Park West,26955,2024,05
Prospect Park West,94934,2024,06
Prospect Park West,88973,2024,07
Prospect Park West,86078,2024,08
Prospect Park West,89703,2024,09
Manhattan Bridge Ped Path,1341,2013,12
Manhattan Bridge Ped Path,1219,2014,01
Manhattan Bridge Ped Path,1095,2014,02
Manhattan Bridge Ped Path,1992,2014,03
Manhattan Bridge Ped Path,3539,2014,04
Manhattan Bridge Ped Path,4570,2014,05
Manhattan Bridge Ped Path,4846,2014,06
Manhattan Bridge Ped Path,5362,2014,07
Manhattan Bridge Ped Path,4827,2014,08
Manhattan Bridge Ped Path,3604,2014,09
Manhattan Bridge Ped Path,3005,2014,10
Manhattan Bridge Ped Path,1922,2014,11
Manhattan Bridge Ped Path,1708,2014,12
Manhattan Bridge Ped Path,1270,2015,01
Manhattan Bridge Ped Path,871,2015,02
Manhattan Bridge Ped Path,1739,2015,03
Manhattan Bridge Ped Path,3687,2015,04
Manhattan Bridge Ped Path,5394,2015,05
Manhattan Bridge Ped Path,5006,2015,06
Manhattan Bridge Ped Path,6284,2015,07
Manhattan Bridge Ped Path,6841,2015,08
Manhattan Bridge Ped Path,6031,2015,09
Manhattan Bridge Ped Path,4669,2015,10
Manhattan Bridge Ped Path,3574,2015,11
Manhattan Bridge Ped Path,2936,2015,12
Manhattan Bridge Ped Path,1994,2016,01
Manhattan Bridge Ped Path,1959,2016,02
Manhattan Bridge Ped Path,3579,2016,03
Manhattan Bridge Ped Path,4566,2016,04
Manhattan Bridge Ped Path,5313,2016,05
Manhattan Bridge Ped Path,6116,2016,06
Manhattan Bridge Ped Path,6279,2016,07
Manhattan Bridge Ped Path,6701,2016,08
Manhattan Bridge Ped Path,6343,2016,09
Manhattan Bridge Ped Path,5024,2016,10
Manhattan Bridge Ped Path,4042,2016,11
Manhattan Bridge Ped Path,2990,2016,12
Manhattan Bridge Ped Path,2647,2017,01
Manhattan Bridge Ped Path,3150,2017,02
Manhattan Bridge Ped Path,2738,2017,03
Manhattan Bridge Ped Path,5386,2017,04
Manhattan Bridge Ped Path,6063,2017,05
Manhattan Bridge Ped Path,6718,2017,06
Manhattan Bridge Ped Path,7476,2017,07
Manhattan Bridge Ped Path,7990,2017,08
Manhattan Bridge Ped Path,7432,2017,09
Manhattan Bridge Ped Path,7517,2017,10
Manhattan Bridge Ped Path,4432,2017,11
Manhattan Bridge Ped Path,2904,2017,12
Manhattan Bridge Ped Path,2469,2018,01
Manhattan Bridge Ped Path,3146,2018,02
Manhattan Bridge Ped Path,3466,2018,03
Manhattan Bridge Ped Path,4641,2018,04
Manhattan Bridge Ped Path,6673,2018,05
Manhattan Bridge Ped Path,7921,2018,06
Manhattan Bridge Ped Path,7018,2018,07
Manhattan Bridge Ped Path,6401,2018,08
Manhattan Bridge Ped Path,6009,2018,09
Manhattan Bridge Ped Path,5497,2018,10
Manhattan Bridge Ped Path,3628,2018,11
Manhattan Bridge Ped Path,2996,2018,12
Manhattan Bridge Ped Path,2404,2019,01
Manhattan Bridge Ped Path,2561,2019,02
Manhattan Bridge Ped Path,3541,2019,03
Manhattan Bridge Ped Path,5190,2019,04
Manhattan Bridge Ped Path,5910,2019,05
Manhattan Bridge Ped Path,6485,2019,06
Manhattan Bridge Ped Path,6960,2019,07
Manhattan Bridge Ped Path,7052,2019,08
Manhattan Bridge Ped Path,6912,2019,09
Manhattan Bridge Ped Path,5165,2019,10
Manhattan Bridge Ped Path,3380,2019,11
Manhattan Bridge Ped Path,2386,2019,12
Manhattan Bridge Ped Path,2896,2020,01
Manhattan Bridge Ped Path,2638,2020,02
Manhattan Bridge Ped Path,3793,2020,03
Manhattan Bridge Ped Path,3801,2020,04
Manhattan Bridge Ped Path,7886,2020,05
Manhattan Bridge Ped Path,10528,2020,06
Manhattan Bridge Ped Path,9466,2020,07
Manhattan Bridge Ped Path,9630,2020,08
Manhattan Bridge Ped Path,9383,2020,09
Manhattan Bridge Ped Path,7671,2020,10
Manhattan Bridge Ped Path,5659,2020,11
Manhattan Bridge Ped Path,3517,2020,12
Manhattan Bridge Ped Path,3414,2021,01
Manhattan Bridge Ped Path,2112,2021,02
Manhattan Bridge Ped Path,4768,2021,03
Manhattan Bridge Ped Path,5396,2021,04
Manhattan Bridge Ped Path,6281,2021,05
Manhattan Bridge Ped Path,7099,2021,06
Manhattan Bridge Ped Path,7189,2021,07
Manhattan Bridge Ped Path,7189,2021,08
Manhattan Bridge Ped Path,7506,2021,09
Manhattan Bridge Ped Path,6265,2021,10
Manhattan Bridge Ped Path,4407,2021,11
Manhattan Bridge Ped Path,3563,2021,12
Manhattan Bridge Ped Path,2253,2022,01
Manhattan Bridge Ped Path,2504,2022,02
Manhattan Bridge Ped Path,3762,2022,03
Manhattan Bridge Ped Path,4528,2022,04
Manhattan Bridge Ped Path,7965,2022,05
Manhattan Bridge Ped Path,6341,2022,06
Manhattan Bridge Ped Path,6583,2022,07
Manhattan Bridge Ped Path,7187,2022,08
Manhattan Bridge Ped Path,6144,2022,09
Manhattan Bridge Ped Path,5086,2022,10
Manhattan Bridge Ped Path,4295,2022,11
Manhattan Bridge Ped Path,3072,2022,12
Manhattan Bridge Ped Path,3191,2023,01
Manhattan Bridge Ped Path,3236,2023,02
Manhattan Bridge Ped Path,3842,2023,03
Manhattan Bridge Ped Path,4439,2023,04
Manhattan Bridge Ped Path,5420,2023,05
Manhattan Bridge Ped Path,5307,2023,06
Manhattan Bridge Ped Path,5369,2023,07
Manhattan Bridge Ped Path,6169,2023,08
Manhattan Bridge Ped Path,5450,2023,09
Manhattan Bridge Ped Path,5416,2023,10
Manhattan Bridge Ped Path,3731,2023,11
Manhattan Bridge Ped Path,2973,2023,12
Manhattan Bridge Ped Path,2286,2024,01
Manhattan Bridge Ped Path,2569,2024,02
Manhattan Bridge Ped Path,3176,2024,03
Manhattan Bridge Ped Path,3741,2024,04
Manhattan Bridge Ped Path,4730,2024,05
Manhattan Bridge Ped Path,5626,2024,06
Manhattan Bridge Ped Path,5579,2024,07
Manhattan Bridge Ped Path,5229,2024,08
Manhattan Bridge Ped Path,5513,2024,09
Williamsburg Bridge Bike Path,54546,2013,12
Williamsburg Bridge Bike Path,41647,2014,01
Williamsburg Bridge Bike Path,34253,2014,02
Williamsburg Bridge Bike Path,74076,2014,03
Williamsburg Bridge Bike Path,134146,2014,04
Williamsburg Bridge Bike Path,181352,2014,05
Williamsburg Bridge Bike Path,201089,2014,06
Williamsburg Bridge Bike Path,204960,2014,07
Williamsburg Bridge Bike Path,209183,2014,08
Williamsburg Bridge Bike Path,197342,2014,09
Williamsburg Bridge Bike Path,164549,2014,10
Williamsburg Bridge Bike Path,96025,2014,11
Williamsburg Bridge Bike Path,64492,2014,12
Williamsburg Bridge Bike Path,42091,2015,01
Williamsburg Bridge Bike Path,25482,2015,02
Williamsburg Bridge Bike Path,63086,2015,03
Williamsburg Bridge Bike Path,150929,2015,04
Williamsburg Bridge Bike Path,219509,2015,05
Williamsburg Bridge Bike Path,186404,2015,06
Williamsburg Bridge Bike Path,203333,2015,07
Williamsburg Bridge Bike Path,215840,2015,08
Williamsburg Bridge Bike Path,206027,2015,09
Williamsburg Bridge Bike Path,168557,2015,10
Williamsburg Bridge Bike Path,131531,2015,11
Williamsburg Bridge Bike Path,97095,2015,12
Williamsburg Bridge Bike Path,61046,2016,01
Williamsburg Bridge Bike Path,64717,2016,02
Williamsburg Bridge Bike Path,127793,2016,03
Williamsburg Bridge Bike Path,145912,2016,04
Williamsburg Bridge Bike Path,173709,2016,05
Williamsburg Bridge Bike Path,218557,2016,06
Williamsburg Bridge Bike Path,195143,2016,07
Williamsburg Bridge Bike Path,211399,2016,08
Williamsburg Bridge Bike Path,197978,2016,09
Williamsburg Bridge Bike Path,176039,2016,10
Williamsburg Bridge Bike Path,127720,2016,11
Williamsburg Bridge Bike Path,76871,2016,12
Williamsburg Bridge Bike Path,69338,2017,01
Williamsburg Bridge Bike Path,83679,2017,02
Williamsburg Bridge Bike Path,73664,2017,03
Williamsburg Bridge Bike Path,148277,2017,04
Williamsburg Bridge Bike Path,177031,2017,05
Williamsburg Bridge Bike Path,198646,2017,06
Williamsburg Bridge Bike Path,188347,2017,07
Williamsburg Bridge Bike Path,198648,2017,08
Williamsburg Bridge Bike Path,198477,2017,09
Williamsburg Bridge Bike Path,185893,2017,10
Williamsburg Bridge Bike Path,122016,2017,11
Williamsburg Bridge Bike Path,73665,2017,12
Williamsburg Bridge Bike Path,56571,2018,01
Williamsburg Bridge Bike Path,72043,2018,02
Williamsburg Bridge Bike Path,80271,2018,03
Williamsburg Bridge Bike Path,117551,2018,04
Williamsburg Bridge Bike Path,179977,2018,05
Williamsburg Bridge Bike Path,192264,2018,06
Williamsburg Bridge Bike Path,181010,2018,07
Williamsburg Bridge Bike Path,183374,2018,08
Williamsburg Bridge Bike Path,162017,2018,09
Williamsburg Bridge Bike Path,170642,2018,10
Williamsburg Bridge Bike Path,99802,2018,11
Williamsburg Bridge Bike Path,73795,2018,12
Williamsburg Bridge Bike Path,68091,2019,01
Williamsburg Bridge Bike Path,71377,2019,02
Williamsburg Bridge Bike Path,99875,2019,03
Williamsburg Bridge Bike Path,146695,2019,04
Williamsburg Bridge Bike Path,171018,2019,05
Williamsburg Bridge Bike Path,186034,2019,06
Williamsburg Bridge Bike Path,184626,2019,07
Williamsburg Bridge Bike Path,198950,2019,08
Williamsburg Bridge Bike Path,207990,2019,09
Williamsburg Bridge Bike Path,163821,2019,10
Williamsburg Bridge Bike Path,113888,2019,11
Williamsburg Bridge Bike Path,66814,2019,12
Williamsburg Bridge Bike Path,93733,2020,01
Williamsburg Bridge Bike Path,84621,2020,02
Williamsburg Bridge Bike Path,115980,2020,03
Williamsburg Bridge Bike Path,92369,2020,04
Williamsburg Bridge Bike Path,186798,2020,05
Williamsburg Bridge Bike Path,244399,2020,06
Williamsburg Bridge Bike Path,246956,2020,07
Williamsburg Bridge Bike Path,257748,2020,08
Williamsburg Bridge Bike Path,266900,2020,09
Williamsburg Bridge Bike Path,229568,2020,10
Williamsburg Bridge Bike Path,174463,2020,11
Williamsburg Bridge Bike Path,100908,2020,12
Williamsburg Bridge Bike Path,100101,2021,01
Williamsburg Bridge Bike Path,54004,2021,02
Williamsburg Bridge Bike Path,136101,2021,03
Williamsburg Bridge Bike Path,171009,2021,04
Williamsburg Bridge Bike Path,216533,2021,05
Williamsburg Bridge Bike Path,236796,2021,06
Williamsburg Bridge Bike Path,219022,2021,07
Williamsburg Bridge Bike Path,219534,2021,08
Williamsburg Bridge Bike Path,232467,2021,09
Williamsburg Bridge Bike Path,205479,2021,10
Williamsburg Bridge Bike Path,147779,2021,11
Williamsburg Bridge Bike Path,116371,2021,12
Williamsburg Bridge Bike Path,69288,2022,01
Williamsburg Bridge Bike Path,85356,2022,02
Williamsburg Bridge Bike Path,131706,2022,03
Williamsburg Bridge Bike Path,164382,2022,04
Williamsburg Bridge Bike Path,197360,2022,05
Williamsburg Bridge Bike Path,223643,2022,06
Williamsburg Bridge Bike Path,221392,2022,07
Williamsburg Bridge Bike Path,231128,2022,08
Williamsburg Bridge Bike Path,218607,2022,09
Williamsburg Bridge Bike Path,180939,2022,10
Williamsburg Bridge Bike Path,148021,2022,11
Williamsburg Bridge Bike Path,93392,2022,12
Williamsburg Bridge Bike Path,111412,2023,01
Williamsburg Bridge Bike Path,105531,2023,02
Williamsburg Bridge Bike Path,132321,2023,03
Williamsburg Bridge Bike Path,173602,2023,04
Williamsburg Bridge Bike Path,218517,2023,05
Williamsburg Bridge Bike Path,206056,2023,06
Williamsburg Bridge Bike Path,212168,2023,07
Williamsburg Bridge Bike Path,222475,2023,08
Williamsburg Bridge Bike Path,196851,2023,09
Williamsburg Bridge Bike Path,219286,2023,10
Williamsburg Bridge Bike Path,155490,2023,11
Williamsburg Bridge Bike Path,116802,2023,12
Williamsburg Bridge Bike Path,89517,2024,01
Williamsburg Bridge Bike Path,109960,2024,02
Williamsburg Bridge Bike Path,144358,2024,03
Williamsburg Bridge Bike Path,178060,2024,04
Williamsburg Bridge Bike Path,229440,2024,05
Williamsburg Bridge Bike Path,277966,2024,06
Williamsburg Bridge Bike Path,264931,2024,07
Williamsburg Bridge Bike Path,253789,2024,08
Williamsburg Bridge Bike Path,271586,2024,09
Ed Koch Queensboro Bridge Shared Path,30884,2013,12
Ed Koch Queensboro Bridge Shared Path,27016,2014,01
Ed Koch Queensboro Bridge Shared Path,22094,2014,02
Ed Koch Queensboro Bridge Shared Path,49178,2014,03
Ed Koch Queensboro Bridge Shared Path,89187,2014,04
Ed Koch Queensboro Bridge Shared Path,117834,2014,05
Ed Koch Queensboro Bridge Shared Path,133492,2014,06
Ed Koch Queensboro Bridge Shared Path,141591,2014,07
Ed Koch Queensboro Bridge Shared Path,148471,2014,08
Ed Koch Queensboro Bridge Shared Path,139023,2014,09
Ed Koch Queensboro Bridge Shared Path,113083,2014,10
Ed Koch Queensboro Bridge Shared Path,70239,2014,11
Ed Koch Queensboro Bridge Shared Path,51391,2014,12
Ed Koch Queensboro Bridge Shared Path,33903,2015,01
Ed Koch Queensboro Bridge Shared Path,21328,2015,02
Ed Koch Queensboro Bridge Shared Path,49695,2015,03
Ed Koch Queensboro Bridge Shared Path,104785,2015,04
Ed Koch Queensboro Bridge Shared Path,147126,2015,05
Ed Koch Queensboro Bridge Shared Path,132573,2015,06
Ed Koch Queensboro Bridge Shared Path,148539,2015,07
Ed Koch Queensboro Bridge Shared Path,158505,2015,08
Ed Koch Queensboro Bridge Shared Path,149067,2015,09
Ed Koch Queensboro Bridge Shared Path,120155,2015,10
Ed Koch Queensboro Bridge Shared Path,96664,2015,11
Ed Koch Queensboro Bridge Shared Path,75356,2015,12
Ed Koch Queensboro Bridge Shared Path,48598,2016,01
Ed Koch Queensboro Bridge Shared Path,53068,2016,02
Ed Koch Queensboro Bridge Shared Path,95256,2016,03
Ed Koch Queensboro Bridge Shared Path,100586,2016,04
Ed Koch Queensboro Bridge Shared Path,118540,2016,05
Ed Koch Queensboro Bridge Shared Path,144234,2016,06
Ed Koch Queensboro Bridge Shared Path,144999,2016,07
Ed Koch Queensboro Bridge Shared Path,156935,2016,08
Ed Koch Queensboro Bridge Shared Path,140638,2016,09
Ed Koch Queensboro Bridge Shared Path,114544,2016,10
Ed Koch Queensboro Bridge Shared Path,93474,2016,11
Ed Koch Queensboro Bridge Shared Path,63452,2016,12
Ed Koch Queensboro Bridge Shared Path,55681,2017,01
Ed Koch Queensboro Bridge Shared Path,61412,2017,02
Ed Koch Queensboro Bridge Shared Path,53999,2017,03
Ed Koch Queensboro Bridge Shared Path,104491,2017,04
Ed Koch Queensboro Bridge Shared Path,126323,2017,05
Ed Koch Queensboro Bridge Shared Path,142121,2017,06
Ed Koch Queensboro Bridge Shared Path,141068,2017,07
Ed Koch Queensboro Bridge Shared Path,160288,2017,08
Ed Koch Queensboro Bridge Shared Path,151654,2017,09
Ed Koch Queensboro Bridge Shared Path,148010,2017,10
Ed Koch Queensboro Bridge Shared Path,100337,2017,11
Ed Koch Queensboro Bridge Shared Path,71795,2017,12
Ed Koch Queensboro Bridge Shared Path,49466,2018,01
Ed Koch Queensboro Bridge Shared Path,58302,2018,02
Ed Koch Queensboro Bridge Shared Path,64374,2018,03
Ed Koch Queensboro Bridge Shared Path,89983,2018,04
Ed Koch Queensboro Bridge Shared Path,135011,2018,05
Ed Koch Queensboro Bridge Shared Path,144048,2018,06
Ed Koch Queensboro Bridge Shared Path,140086,2018,07
Ed Koch Queensboro Bridge Shared Path,140330,2018,08
Ed Koch Queensboro Bridge Shared Path,120748,2018,09
Ed Koch Queensboro Bridge Shared Path,122140,2018,10
Ed Koch Queensboro Bridge Shared Path,76184,2018,11
Ed Koch Queensboro Bridge Shared Path,62177,2018,12
Ed Koch Queensboro Bridge Shared Path,55895,2019,01
Ed Koch Queensboro Bridge Shared Path,54745,2019,02
Ed Koch Queensboro Bridge Shared Path,73862,2019,03
Ed Koch Queensboro Bridge Shared Path,103850,2019,04
Ed Koch Queensboro Bridge Shared Path,119109,2019,05
Ed Koch Queensboro Bridge Shared Path,125698,2019,06
Ed Koch Queensboro Bridge Shared Path,135978,2019,07
Ed Koch Queensboro Bridge Shared Path,143988,2019,08
Ed Koch Queensboro Bridge Shared Path,141185,2019,09
Ed Koch Queensboro Bridge Shared Path,116212,2019,10
Ed Koch Queensboro Bridge Shared Path,84143,2019,11
Ed Koch Queensboro Bridge Shared Path,57963,2019,12
Ed Koch Queensboro Bridge Shared Path,74602,2020,01
Ed Koch Queensboro Bridge Shared Path,68303,2020,02
Ed Koch Queensboro Bridge Shared Path,87893,2020,03
Ed Koch Queensboro Bridge Shared Path,72939,2020,04
Ed Koch Queensboro Bridge Shared Path,150365,2020,05
Ed Koch Queensboro Bridge Shared Path,193958,2020,06
Ed Koch Queensboro Bridge Shared Path,198842,2020,07
Ed Koch Queensboro Bridge Shared Path,201796,2020,08
Ed Koch Queensboro Bridge Shared Path,208119,2020,09
Ed Koch Queensboro Bridge Shared Path,180944,2020,10
Ed Koch Queensboro Bridge Shared Path,144644,2020,11
Ed Koch Queensboro Bridge Shared Path,96742,2020,12
Ed Koch Queensboro Bridge Shared Path,98346,2021,01
Ed Koch Queensboro Bridge Shared Path,59228,2021,02
Ed Koch Queensboro Bridge Shared Path,123064,2021,03
Ed Koch Queensboro Bridge Shared Path,145531,2021,04
Ed Koch Queensboro Bridge Shared Path,169820,2021,05
